2025-03-24
,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
9:00 AM,study,study,study,study, , , 
10:00 AM,study,study,study,study, , , 
11:00 AM,study,study,study,study, , , 
12:00 PM, , , , , , , 
1:00 PM,study,study,study,study, , , 
2:00 PM,study,study,study,study, , , 
3:00 PM, , , , ,Test, , 
4:00 PM, , , , , , , 
5:00 PM, , , , , , , 
6:00 PM, , , , , , , 
7:00 PM, , , , , , , 
8:00 PM, , , , , , , 
9:00 PM, , , , , , , 
2025-03-31
,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
9:00 AM, , , , , , , 
10:00 AM, , , , , , , 
11:00 AM, , , , , , , 
12:00 PM, , , , , , , 
1:00 PM, , , , , , , 
2:00 PM, , , , , , , 
3:00 PM, , , , , , , 
4:00 PM, , , , , , , 
5:00 PM, , , , , , , 
6:00 PM, , , , , , , 
7:00 PM, , , , , , , 
8:00 PM, , , , , , , 
9:00 PM, , , , , , , 
2025-03-17
,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
9:00 AM, , , , , , , 
10:00 AM, , , , , , , 
11:00 AM, , , , , , , 
12:00 PM, , , , , , , 
1:00 PM, , , , , , , 
2:00 PM, , , , , , , 
3:00 PM, , , , , , , 
4:00 PM, , , , , , , 
5:00 PM, , , , , , , 
6:00 PM, , , , , , , 
7:00 PM, , , , , , , 
8:00 PM, , , , , , , 
9:00 PM, , , , , , , 
